"coverage","length","m","n","degree","corrected"
0.9516,0.213136126566474,1,10,1,"yes"
0.9534,0.152833700839554,2,10,1,"yes"
0.9492,0.143808406470289,3,10,1,"yes"
0.9492,0.141606824096682,1,30,1,"yes"
0.957,0.13396709406827,2,30,1,"yes"
0.956,0.131547274268164,3,30,1,"yes"
0.9476,0.135402865963819,1,50,1,"yes"
0.95,0.130902552297237,2,50,1,"yes"
0.9494,0.129739533864957,3,50,1,"yes"
0.949,0.200070312871433,1,10,1,"no"
0.931,0.142263830658368,2,10,1,"no"
0.9294,0.135485746690082,3,10,1,"no"
0.939,0.134039031743022,1,30,1,"no"
0.9386,0.128916118759615,2,30,1,"no"
0.9366,0.128232645801401,3,30,1,"no"
0.9418,0.129511278881034,1,50,1,"no"
0.9406,0.127370663688643,2,50,1,"no"
0.9466,0.126857880729422,3,50,1,"no"
0.9378,0.178877429418191,1,10,2,"yes"
0.947,0.145968581591517,2,10,2,"yes"
0.949,0.138580912919325,3,10,2,"yes"
0.9518,0.138086441016414,1,30,2,"yes"
0.951,0.132032263210068,2,30,2,"yes"
0.9442,0.130234128174406,3,30,2,"yes"
0.953,0.13320838423468,1,50,2,"yes"
0.949,0.129792676772363,2,50,2,"yes"
0.9454,0.128704319267342,3,50,2,"yes"
0.9238,0.161131215352572,1,10,2,"no"
0.9326,0.13572300872133,2,10,2,"no"
0.9328,0.130945546959897,3,10,2,"no"
0.936,0.131855255467864,1,30,2,"no"
0.945,0.128396662412175,2,30,2,"no"
0.9354,0.12747583342318,3,30,2,"no"
0.9432,0.129274852395369,1,50,2,"no"
0.9452,0.127334143206078,2,50,2,"no"
0.9404,0.126658129535481,3,50,2,"no"
